objectid,filename,title,contributor,creator,date,description,format,Language,publisher,rights,subject,coverage,type,source
h_donna_0001,hdonna0001.jpg,Chokoloskee Island Park Restaurant,,unknown,Cerca 1960,Photo of the outside of a Chokoloskee Island Park restaurant advertising stone crabs,image/jpeg,english,,n/a,Florida-History-19th century;Restaurateurs-United States;Photographs-Color-1960-1970.,Collier County (Fl),3x5 photo,Collier County Museums
h_donna_0002,hdonna0002.jpeg,Overhead photo of seaside landscape,,unknown,Cerca 1960,A black and white overhead photo of a developed seaside landscape with residential homes and hotels,image/jpeg,n/a,,n/a,Florida-History-19th century;Florida--Description and travel;Photographic prints--1920-1990.,Collier County (Fl),3x5 photo,Collier County Museums
h_donna_0003,hdonna0003.jpeg,Large seaside home,,unknown,Cerca 1960,A black and white photo of a large two story home on the beach,image/jpg,n/a,,n/a,Florida-History-19th century;Architecture-Domestic.;Photographic prints--1920-1990.,Collier County (Fl),3x5 photo,Collier County Museums
h_donna_0004,hdonna0004.jpg,Flooded residentual buildings ,,unknown,Cerca 1960,A black and white photo of small homes surrounded by flooding,image/jpg,n/a,,n/a,Florida-History-19th century;Flood control;Photographic prints--1920-1990.,Collier County (Fl),3x5 photo,Collier County Museums
h_donna_0005,hdonna0005.jpg,2 people in a canoe in flooding,,unknown,Cerca 1960,A black and white photo of 2 people rowing away in a cannoe from a residentual home which has flodded,image/jpg,n/a,,n/a,Florida-History-19th century;Flood control;Photographic prints--1920-1990.,Collier County (Fl),3x5 photo,Collier County Museums
h_donna_0006,hdonna0006.jpg,Flooded building ,,unknown,Cerca 1960,A black and white photo of a large building which is surrounded by large amounts of flooding,image/jpg,n/a,,n/a,florida-History-19th century;Flood control;Photographic prints--1920-1990.,Collier County (Fl),3x5 photo,Collier County Museums
h_donna_0007,hdonna0007.jpg,Photo of Everglades inn,,unknown,Post 1923,A black and white photo of a crowd of people gathering around Everglades Inn,image/jpg,n/a,,n/a,Everglades (Fla.)--Description and travel;Florida--Description and travel;Photographic prints--1920-1990.,Collier County (Fl),3x5 photo,Collier County Museums
h_donna_0008,hdonna0008.pdf,FL Health Notes Hurricane Donna,,FL State Board of Health,Apr-61,15 page report about the impact of hurricane Donna on the health and welbeing of Floridians ,application/pdf,english,FL State Board of Health,Public,Health care--1950-1990;Hurricanes--Research--United States;Florida--Surveys.,Florida,17 pages,FGCU archives
h_donna_0009,hdonna0009.pdf,Hurricane Exhibit Plans,,unknown,post 1960,"5 page plans for an exhibit on hurricanes in Collier County, includes a list of hurricanes from 1873 to 1960",application/pdf,english,,n/a,Florida-History-19th century;Hurricanes--Research--United States;Exhibition catalogs.,Collier County (Fl),5 pages,FGCU archives
h_donna_0010,hdonna0010.pdf,Donna Was The Worst Storm We Ever Had,,unknown,Sept-10-60,"6 page report about the damage caused by hurricane Donna to Naples and Bonita Springs, also inculdes bits of an oral history interview",application/pdf,english,,n/a,Hurricanes--Research--United States;Flood control;Oral histories.,Collier County (Fl),6 pages,FGCU archives
h_donna_0011,hdonna0011.pdf,"Fed. Assistance Promised County, Damage in FL Nears Billion Mark",,Fort Myers News Press,Sept-13-60,Single page newspaper clipping covering local news including hurricane Donna reports,application/pdf,english,Fort Myers News Press,Public,Newspapers--Sections, columns, etc.;Florida--History;Weather forecasting.,Florida,1 page,FGCU archives

h_donna_0012,hdonna0012.pdf,Hurricane Heads for Keys; Islanders Start Evacuating,,Fort Myers News Press,Sept-09-60,Single page newspaper clipping with local news including information from before Donna hit about how people were preparing,application/pdf,english,Fort Myers News Press,Public,"Newspapers--Sections, columns, etc.",Florida Keys (Fla.)--History.,Weather forecasting.,Florida,1 page,FGCU archives






